station_id;name;capacity;lat;lon;xy
7254;Gay Lussac - Saint-Jacques;24;48.844730256132095;2.341923944866407;48.8447302561, 2.34192394487
36298;Jean-Baptiste Pigalle - La Bruyere;18;48.87939826447722;2.333709173337285;48.8793982645, 2.33370917334
6512;Porte de Ménilmontant;15;48.8691543609174;2.40932246879487;48.8691543609, 2.40932246879
6352;Saint-Bon - Rivoli;15;48.857999643314926;2.350217280976349;48.8579996433, 2.35021728098
36255;Toudouze - Clauzel;21;48.879505265624786;2.337190639271711;48.8795052656, 2.33719063927
15401095;Versailles - Claude Terrasse;45;48.84021933807409;2.263834191152959;48.8402193381, 2.26383419115
63297;Eglise d'Auteuil;0;48.84749841771691;2.26848387135299;48.8474984177, 2.26848387135
6399;Hautpoul - Jean Jaurès;32;48.88639367943585;2.386541454435452;48.8863936794, 2.38654145444
52453;Le Vau - Maurice Bertaux;25;48.86803439043193;2.411030612453627;48.8680343904, 2.41103061245
15414455;Paul Doumer - La Tour;32;48.860116109626574;2.280840481911055;48.8601161096, 2.28084048191
